Campus,Sex,Area ID,Area,Career,Academic Degree,Students
CU,Hombre,3,Ciencias sociales y derecho,Estudios en relaciones internacionales,Maestría,10
CU,Hombre,3,Ciencias sociales y derecho,Opinión pública,Especialidad,4
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y estudios de la información,Maestría,22
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con adultos mayores,Especialidad,1
CU,Hombre,3,Ciencias sociales y derecho,Negociación y gestión de conflictos políticos y sociales,Especialidad,10
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y estudios de la información,Maestría,20
CU,Hombre,3,Ciencias sociales y derecho,Ciencias políticas y sociales,Doctorado,107
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Licenciatura,1067
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Licenciatura,1159
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con mujeres,Especialidad,2
CU,Hombre,3,Ciencias sociales y derecho,Ciencias de la comunicación,Licenciatura,1950
CU,Hombre,3,Ciencias sociales y derecho,Estudios políticos y sociales,Maestría,33
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Licenciatura,210
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Doctorado,18
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con jóvenes,Especialidad,9
CU,Hombre,3,Ciencias sociales y derecho,Estudio social y gestión local,Licenciatura,39
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y estudios de la información,Doctorado,16
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Maestría,348
CU,Hombre,3,Ciencias sociales y derecho,Comunicación,Maestría,17
CU,Hombre,3,Ciencias sociales y derecho,Economía,Especialidad,48
CU,Hombre,3,Ciencias sociales y derecho,Administración de archivos y gestión documental,Licenciatura,10
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con adultos mayores,Especialidad,2
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Licenciatura,6599
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con jóvenes,Especialidad,9
CU,Hombre,3,Ciencias sociales y derecho,Economía,Maestría,77
CU,Hombre,3,Ciencias sociales y derecho,Ciencia forense,Licenciatura,34
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y ciencias de la información,Licenciatura,248
CU,Hombre,3,Ciencias sociales y derecho,Negociación y gestión de conflictos políticos y sociales,Especialidad,5
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Maestría,11
CU,Hombre,3,Ciencias sociales y derecho,Economía,Especialidad,39
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Especialidad,423
CU,Hombre,3,Ciencias sociales y derecho,Relaciones internacionales,Licenciatura,912
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Licenciatura,7012
CU,Hombre,3,Ciencias sociales y derecho,Teoría económica,Especialidad,14
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Maestría,44
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y ciencias de la información,Licenciatura,283
CU,Hombre,3,Ciencias sociales y derecho,Análisis político,Especialidad,11
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con adultos mayores,Especialidad,3
CU,Hombre,3,Ciencias sociales y derecho,Comunicación,Maestría,21
CU,Hombre,3,Ciencias sociales y derecho,Ciencias políticas y administración pública,Licenciatura,1576
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social,Licenciatura,666
CU,Hombre,3,Ciencias sociales y derecho,Administración de archivos y gestión documental,Licenciatura,27
CU,Hombre,3,Ciencias sociales y derecho,Derechos humanos,Especialidad,13
CU,Hombre,3,Ciencias sociales y derecho,Ciencia forense,Licenciatura,39
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Especialidad,384
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Doctorado,102
CU,Hombre,3,Ciencias sociales y derecho,Comunicación y campañas políticas,Especialidad,7
CU,Hombre,3,Ciencias sociales y derecho,Economía,Licenciatura,4198
CU,Hombre,3,Ciencias sociales y derecho,Política criminal,Maestría,14
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Doctorado,115
CU,Hombre,3,Ciencias sociales y derecho,Economía,Doctorado,39
CU,Hombre,3,Ciencias sociales y derecho,Ciencias políticas y sociales,Doctorado,115
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Licenciatura,1089
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social,Maestría,27
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y estudios de la información,Maestría,23
CU,Hombre,3,Ciencias sociales y derecho,Economía,Licenciatura,4632
CU,Hombre,3,Ciencias sociales y derecho,Ciencias de la comunicación,Licenciatura,1910
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Doctorado,113
CU,Hombre,3,Ciencias sociales y derecho,Derecho penal,Especialidad,72
CU,Hombre,3,Ciencias sociales y derecho,Administración de archivos y gestión documental,Licenciatura,95
CU,Hombre,3,Ciencias sociales y derecho,Economía,Doctorado,58
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Especialidad,13
CU,Hombre,3,Ciencias sociales y derecho,Economía,Maestría,42
CU,Hombre,3,Ciencias sociales y derecho,Comunicación,Maestría,28
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Maestría,69
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y ciencias de la información,Licenciatura,228
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Maestría,449
CU,Hombre,3,Ciencias sociales y derecho,Opinión pública,Especialidad,3
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Licenciatura,1063
